web-scraper-order,web-scraper-start-url,idName,idName-href,nameState,nameState-href,image-src,name,candidateConnection,contactLinks1,contactLinks1-href,contactLinks2,contactLinks2-href,contactLinks3,contactLinks3-href,contactLinks4,contactLinks4-href,contactLinks5,contactLinks5-href,contactLinks6,contactLinks6-href,district,state
"1585449135-1238","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1385|Jerry Evans||House","https://ballotpedia.org/Jerry_Evans","Jerry Evans (North Carolina)","https://ballotpedia.org/Jerry_Evans_(North_Carolina)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jerry_Evans.jpg","Jerry Evans (North Carolina)","null","Personal website","https://web.archive.org/web/2/http://evansforncsenate.com/news/entry/jerry-evans-to-run-for-north-carolina-senate","null","","null","","null","","null","","null","","null","North Carolina"
"1585449689-1313","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","131|John Cornyn|incumbent|Senate","https://ballotpedia.org/John_Cornyn","United States Senate","https://ballotpedia.org/United_States_Senate","","United States Senate","null","null","","null","","null","","null","","null","","null","","null","null"
"1585448927-1215","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1395|Tom Watson||House","https://ballotpedia.org/Tom_Watson","Tom Watson (Michigan)","https://ballotpedia.org/Tom_Watson_(Michigan)","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","Tom Watson (Michigan)","null","Campaign Facebook","https://www.facebook.com/Tom-Watson-Michigan-State-Rep-46th-District-220540798747040/","null","","null","","null","","null","","null","","null","Michigan"
"1585449514-1286","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","434|Ron Estes|incumbent|House","https://ballotpedia.org/Ron_Estes","Ron M. Estes (congressional candidate)","https://ballotpedia.org/Ron_M._Estes_(congressional_candidate)","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","Ron M. Estes (congressional candidate)","null","Campaign Facebook","https://www.facebook.com/ronesteskansas/","Personal Facebook","https://www.facebook.com/ron.estes.775","null","","null","","null","","null","","null","Kansas"
"1585449074-1230","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1503|Tim Johnson||House","https://ballotpedia.org/Tim_Johnson","Tim Johnson (Minnesota)","https://ballotpedia.org/Tim_Johnson,_Minnesota","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","Tim Johnson, Minnesota","null","null","","null","","null","","null","","null","","null","","null","Minnesota"
"1585448910-1211","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1526|Frank J. Mrvan||House","https://ballotpedia.org/Frank_Mrvan","Frank Mrvan (Indiana state senator)","https://ballotpedia.org/Frank_Mrvan_(Indiana_state_senator)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Frank_Mrvan.jpg","Frank Mrvan (Indiana state senator)","null","Campaign Facebook","https://www.facebook.com/FrankMrvanforStateSenate/","null","","null","","null","","null","","null","","Indiana State Senate District 1","Indiana"
"1585449359-1264","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1613|Justin Jones||House","https://ballotpedia.org/Justin_Jones","Justin Jones (Nevada)","https://ballotpedia.org/Justin_Jones_(Nevada)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Justin_Jones.jpg","Justin Jones (Nevada)","null","Campaign Facebook","https://www.facebook.com/jonesfornevada","Personal Facebook","https://www.facebook.com/justin.c.jones.353","null","","null","","null","","null","","Clark County Commission District F","Nevada"
"1585449659-1306","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","221|Dina Titus|incumbent|House","https://ballotpedia.org/Dina_Titus","U.S. House website","http://titus.house.gov/","","null","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449043-1224","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1495|Mark Neumann||House","https://ballotpedia.org/Mark_Neumann","Mark Neumann (Wisconsin congressional candidate)","https://ballotpedia.org/Mark_Neumann_(Wisconsin_congressional_candidate)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Mark_Neumann.jpg","Mark Neumann (Wisconsin congressional candidate)","null","Campaign website","http://www.markneumannforcongress.com/","Campaign Facebook","https://www.facebook.com/DrMark.3rdCD.WI/","Campaign Twitter","https://www.twitter.com/DrMark_3rdCD_WI","null","","null","","null","","null","Wisconsin"
"1585449574-1293","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","367|Dan Sullivan|incumbent|Senate","https://ballotpedia.org/Dan_Sullivan","Daniel Sullivan (Illinois)","https://ballotpedia.org/Daniel_Sullivan_(Illinois)","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","Daniel Sullivan (Illinois)","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449328-1259","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","2034|James Kennedy||House","https://ballotpedia.org/James_Kennedy","James R. ""Jim"" Kennedy (Florida City Councilman)","https://ballotpedia.org/James_R._%22Jim%22_Kennedy","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JimKennedy12.jpg","James R. ""Jim"" Kennedy","null","null","","null","","null","","null","","null","","null","","null","Florida"
"1585448938-1218","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","2014|Jack Ballard||Senate","https://ballotpedia.org/Jack_Ballard","Jack Ballard (Texas)","https://ballotpedia.org/Jack_Ballard_(Texas)","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","Jack Ballard (Texas)","null","null","","null","","null","","null","","null","","null","","null","Texas"
"1585449535-1287","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","434|Ron Estes|incumbent|House","https://ballotpedia.org/Ron_Estes","Ron Estes (U.S. House representative)","https://ballotpedia.org/Ron_Estes_(U.S._House_representative)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Ron_Estes__115th_official_photo-7_fixed.jpg","Ron Estes (U.S. House representative)","null","Official website","https://estes.house.gov/","Official Facebook","https://www.facebook.com/RepRonEstes/","Official Twitter","https://www.twitter.com/RepRonEstes","Campaign website","https://estesforcongress.com/","Campaign Facebook","https://www.facebook.com/ronesteskansas","Campaign Facebook","https://www.facebook.com/ronesteskansas","Candidate, U.S. House Kansas District 4","Kansas"
"1585449679-1311","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","131|John Cornyn|incumbent|Senate","https://ballotpedia.org/John_Cornyn","Campaign website","http://www.johncornyn.com/","","null","null","null","","null","","null","","null","","null","","null","","null","null"
"1585449458-1279","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1373|Scott Smith||House","https://ballotpedia.org/Scott_Smith","Scott Smith (New York)","https://ballotpedia.org/Scott_Smith_(New_York)","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Scott_Smith.png","Scott Smith (New York)","null","Campaign website","https://mrsmithforcongress.com/","Campaign Facebook","https://www.facebook.com/ScottSmithforCongress/","Campaign Twitter","https://www.twitter.com/MrSmithCongress","null","","null","","null","","null","New York"
"1585449438-1275","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1609|Wesley Hunt||House","https://ballotpedia.org/Wesley_Hunt","Wesley Hunt (Calhoun County Justice Court candidate, Texas)","https://ballotpedia.org/Wesley_Hunt_(Calhoun_County_Justice_Court_candidate,_Texas)","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","Wesley Hunt (Calhoun County Justice Court candidate, Texas)","null","null","","null","","null","","null","","null","","null","","null","Texas"
"1585448919-1213","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1395|Tom Watson||House","https://ballotpedia.org/Tom_Watson","Tom Watson (Texas city council candidate)","https://ballotpedia.org/Tom_Watson_(Texas_city_council_candidate)","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","Tom Watson (Texas city council candidate)","null","null","","null","","null","","null","","null","","null","","null","Texas"
"1585449336-1262","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","2034|James Kennedy||House","https://ballotpedia.org/James_Kennedy","James Kennedy (Illinois Judge)","https://ballotpedia.org/James_Kennedy_(Illinois_Judge)","","James Kennedy (Illinois Judge)","null","null","","null","","null","","null","","null","","null","","null","Illinois"
"1585449197-1245","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1195|Michael Parrish||Senate","https://ballotpedia.org/Michael_Parrish","Michael Parrish (Alabama)","https://ballotpedia.org/Michael_Parrish_(Alabama)","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","Michael Parrish (Alabama)","null","Campaign website","https://citizenmike2020.wixsite.com/mysite","Campaign Facebook","https://www.facebook.com/Mike-Parrish-for-Senate-2020-880261035676501/","Campaign Twitter","https://www.twitter.com/citizenmike2020","Personal Facebook","https://www.facebook.com/michael.parrish.75","null","","null","","null","Alabama"
"1585449627-1303","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","367|Dan Sullivan|incumbent|Senate","https://ballotpedia.org/Dan_Sullivan","Daniel S. Sullivan","https://ballotpedia.org/Daniel_S._Sullivan","https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/DanielSSullivan.jpg","Daniel S. Sullivan","null","Official website","https://www.sullivan.senate.gov/","Official Facebook","https://www.facebook.com/SenDanSullivan/","Official Twitter","https://www.twitter.com/SenDanSullivan","Campaign website","https://dansullivanforalaska.com/","Campaign Facebook","https://www.facebook.com/DanSullivanforAlaska/","Campaign Facebook","https://www.facebook.com/DanSullivanforAlaska/","Candidate, U.S. Senate Alaska","Alaska"
"1585449704-1315","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","373|Don Beyer|incumbent|House","https://ballotpedia.org/Don_Beyer","Campaign website","http://www.friendsofdonbeyer.com/","","null","null","null","","null","","null","","null","","null","","null","","null","null"
"1585448965-1220","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","1693|Anthony Clark||House","https://ballotpedia.org/Anthony_Clark","Anthony Clark (Pennsylvania)","https://ballotpedia.org/Anthony_Clark_(Pennsylvania)","https://cdn.ballotpedia.org/images/thumb/f/fb/Silhouette_Placeholder_Image.png/150px-Silhouette_Placeholder_Image.png","Anthony Clark (Pennsylvania)","null","null","","null","","null","","null","","null","","null","","Philadelphia City Commission","Pennsylvania"
"1585449551-1288","https://dev.thegoodparty.org/scrape/candidates?onlyNoData=true","394|Don Bacon|incumbent|House","https://ballotpedia.org/Don_Bacon","Twitter feed","https://twitter.com/DonJBacon","","null","null","null","","null","","null","","null","","null","","null","","null","null"
