candidate,url
628|Jim Lower||Housemi - 3/elections/candidate/house/jim-lower/628,https://ballotpedia.org/James_Lower
632|Chris Jacobs||Houseny - 27/elections/candidate/house/chris-jacobs/632,https://ballotpedia.org/Christopher_Jacobs
640|Ronda Kennedy||Houseca - 26/elections/candidate/house/ronda-kennedy/640,https://ballotpedia.org/Ronda_Baldwin-Kennedy
646|Michael Lapierre||Senatesc - 2/elections/candidate/senate/michael-lapierre/646,https://ballotpedia.org/Michael_LaPierre
657|Andy Romagnano||Housefl - 1/elections/candidate/house/andy-romagnano/657,https://ballotpedia.org/Chase_Anderson_Romagnano
665|Dennis Misigoy||Housefl - 26/elections/candidate/house/dennis-misigoy/665,#N/A
667|Rob Barrett||Senatemn - 1/elections/candidate/senate/rob-barrett/667,https://ballotpedia.org/Rob_Barrett_Jr.
671|Mel Gagarin||Houseny - 6/elections/candidate/house/mel-gagarin/671,https://ballotpedia.org/Melquiades_Gagarin
672|Katherine Landing||Housesc - 1/elections/candidate/house/katherine-landing/672,https://ballotpedia.org/Kathy_Landing
695|Joshua Sauberman||Houseny - 3/elections/candidate/house/joshua-sauberman/695,https://ballotpedia.org/Josh_Sauberman
696|Stephen Cornwell||Houseny - 22/elections/candidate/house/stephen-cornwell/696,https://ballotpedia.org/Steve_Cornwell
697|Liam O'Mara||Houseca - 42/elections/candidate/house/liam-omara/697,https://ballotpedia.org/William_O'Mara
705|Asha Castleberry Hernandez||Houseny - 17/elections/candidate/house/asha-castleberry-hernandez/705,https://ballotpedia.org/Asha_Castleberry-Hernandez
714|Rikin Mehta||Senatenj - 2/elections/candidate/senate/rikin-mehta/714,https://ballotpedia.org/Rik_Mehta
719|Matt Hook||Housein - 5/elections/candidate/house/matt-hook/719,https://ballotpedia.org/Matthew_Hook
732|Demetrick Pennie||Housetx - 30/elections/candidate/house/demetrick-pennie/732,https://ballotpedia.org/Tre_Pennie
736|Steven Reeder||Houseia - 4/elections/candidate/house/steven-reeder/736,https://ballotpedia.org/Steve_Reeder
743|Michael Blueming Jr||Housefl - 21/elections/candidate/house/michael-blueming-jr/743,https://ballotpedia.org/Michael_Bluemling_Jr.
746|Elizabeth Felton||Housefl - 21/elections/candidate/house/elizabeth-felton/746,https://ballotpedia.org/Liz_Felton
759|Pat Maher||Houseny - 2/elections/candidate/house/pat-maher/759,https://ballotpedia.org/Patricia_M._Maher
768|Gloria Bromell-Tinubu||Senatesc - 2/elections/candidate/senate/gloria-bromelltinubu/768,https://ballotpedia.org/Gloria_Bromell_Tinubu
769|Jim Pruden||Housefl - 22/elections/candidate/house/jim-pruden/769,https://ballotpedia.org/James_Pruden_(Florida)
783|Gina Jones||Housetx - 23/elections/candidate/house/gina-jones/783,https://ballotpedia.org/Gina_Ortiz_Jones
795|Matt Truong||Houseva - 10/elections/candidate/house/matt-truong/795,https://ballotpedia.org/Matthew_Truong
796|Dana Ferguson||Housemi - 1/elections/candidate/house/dana-ferguson/796,https://ballotpedia.org/Dana_Alan_Ferguson
800|Geoffrey Young||Houseky - 6/elections/candidate/house/geoffrey-young/800,https://ballotpedia.org/Jeff_Young_(Vermont)
803|Mike Vilardi||Housefl - 21/elections/candidate/house/mike-vilardi/803,https://ballotpedia.org/Michael_Vilardi
807|Catherine Kunkel||Housewv - 2/elections/candidate/house/catherine-kunkel/807,https://ballotpedia.org/Cathy_Kunkel
810|David Kim||Housega - 7/elections/candidate/house/david-kim/810,https://ballotpedia.org/David_Kim_(Georgia)
834|Marjorie Greene||Housega - 14/elections/candidate/house/marjorie-greene/834,https://ballotpedia.org/Marjorie_Taylor_Greene
861|Adair Boroughs||Housesc - 2/elections/candidate/house/adair-boroughs/861,https://ballotpedia.org/Adair_Ford_Boroughs
869|George S. Flinn Jr.||Senatetn - 2/elections/candidate/senate/george-s-flinn-jr/869,https://ballotpedia.org/George_Flinn_Jr.
876|Samuel Ravelo||Houseny - 16/elections/candidate/house/samuel-ravelo/876,https://ballotpedia.org/Sammy_Ravelo
882|Tom McDermott||Housein - 1/elections/candidate/house/tom-mcdermott/882,https://ballotpedia.org/Thomas_McDermott_Jr.
885|James Debello||Houseca - 52/elections/candidate/house/james-debello/885,https://ballotpedia.org/Jim_DeBello
902|Jake Laturner||Senateks - 1/elections/candidate/senate/jake-laturner/902,https://ballotpedia.org/Jacob_LaTurner
903|Josh Duvall||Housenj - 1/elections/candidate/house/josh-duvall/903,https://ballotpedia.org/Joshua_Duvall
917|Ruben Diaz Sr||Houseny - 15/elections/candidate/house/ruben-diaz-sr/917,https://ballotpedia.org/Ruben_Diaz_Sr.
932|Richard McCormick||Housega - 7/elections/candidate/house/richard-mccormick/932,https://ballotpedia.org/Rich_McCormick
,#N/A
