state,municipality,electionDay,isPrimary,partisanType
WI,Nichols,2/20/2024,,
WI,Green Lake,2/20/2024,,
WI,Rio,2/20/2024,,
WI,Waterford,2/20/2024,,
WI,West,2/20/2024,,
WI,Chippewa Falls,2/20/2024,,
WI,Calumet,2/20/2024,,
WI,Ithaca,2/20/2024,,
WI,Palmyra,2/20/2024,,
WI,Boyd,2/20/2024,,
WI,Slinger,2/20/2024,,
WI,Amery,2/20/2024,,
WI,Polk,,,
WI,Tigerton,2/20/2024,,
WI,Hilbert,2/20/2024,,
WI,Weyauwega,2/20/2024,,
WI,Antigo,2/20/2024,,
WI,Two Rivers,2/20/2024,,
WI,Cassville,2/20/2024,,
WI,Mount Horeb,2/20/2024,,
WI,Forest,2/20/2024,,
WI,Richfield,2/20/2024,,
WI,Columbia,2/20/2024,,
WI,Muskego-Norway,2/20/2024,,
WI,Holmen,2/20/2024,,
WI,Blue Mounds,2/20/2024,,
WI,Lake Hallie,2/20/2024,,
WI,Kettle,2/20/2024,,
WI,Pepin,2/20/2024,,
WI,Middleton-Cross,2/20/2024,,
WI,Oregon,2/20/2024,,
WI,New London,2/20/2024,,
WI,Pardeeville,2/20/2024,,
WI,Waterloo,2/20/2024,,
WI,Dane County Multi-Jurisdictional Municipal Judge - Dunkirk,2/20/2024,,
WI,Stoughton,,,
WI,Madison,,,
WI,Sun Prairie,,,
WI,Middleton,,,
WI,Verona,,,
WI,Combined Locks,2/20/2024,,
WI,Dane County Multi-Jurisdictional Municipal Judge - Perry,2/20/2024,,
WI,Merton,2/20/2024,,
WI,Waunakee,,,
WI,DeForest,,,
WI,Cross Plains,,,
WI,Burke,,,
WI,Marshall,,,
WI,Cottage Grove,,,
WI,Christiana,,,
WI,McFarland,,,
WI,Neenah,2/20/2024,,
WI,Genesee,,,
WI,Mukwonago,,,
WI,Mary Lane,,,
WI,Ottawa,,,
WI,Big Bend,,,
WI,Butler,,,
WI,Chenequa,,,
WI,Dousman,,,
WI,Elm Grove,,,
WI,Summit,,,
WI,Vernon,,,
WI,Wales,,,
WI,North Prairie,,,
WI,Nashotah,,,
WI,Lannon,,,
WI,Lac La Belle,,,
WI,Lisbon,,,
WI,Almond-Bancroft,2/20/2024,,
WI,Darien,2/20/2024,,
WI,Fontana-on-Geneva Lake,2/20/2024,,
WI,East Troy,2/20/2024,,
WI,Dodge,2/20/2024,,
WI,North Freedom,2/20/2024,,
WI,Stevens Point,2/20/2024,,
WI,Fond,2/20/2024,,
WI,Glenbeulah,2/20/2024,,
WI,Iola,2/20/2024,,
WI,Glendale-River,2/20/2024,,
WI,Twin Lakes,2/20/2024,,
WI,Menomonee,2/20/2024,,
WI,Salem Lakes,2/20/2024,,
WI,Sturtevant,2/20/2024,,
WI,Boscobel,2/20/2024,,
WI,Cuba City,,,
WI,Fennimore,,,
WI,Jamestown,,,
WI,Bagley,,,
WI,Bloomington,,,
WI,Blue River,,,
WI,Dickeyville,,,
WI,Hazel Green,,,
WI,Montfort,,,
WI,Mount Hope,,,
WI,Muscoda,,,
WI,Patch Grove,,,
WI,Tennyson,,,
WI,Woodman,,,
WI,Benton,,,
WI,Highland,,,
WI,Iowa Grant,,,
WI,River Ridge,,,
WI,Grant County,,,
WI,Campbellsport,2/20/2024,,
WI,Muskego,2/20/2024,,
WI,Kewaskum,2/20/2024,,
WI,Juneau,2/20/2024,,
WI,Marathon,2/20/2024,,
WI,Ogdensburg,2/20/2024,,
WI,WI,2/20/2024,,
WI,Kohler,2/20/2024,,
WI,Stockbridge,2/20/2024,,
WI,Loganville,2/20/2024,,
WI,Ripon,2/20/2024,,
WI,Platteville,2/20/2024,,
WI,Beloit,2/20/2024,,
WI,Greendale,2/20/2024,,
WI,Tri-County,2/20/2024,,
WI,Cedar,2/20/2024,,
WI,Dane,2/20/2024,,
WI,Fort Atkinson,2/20/2024,,
WI,Mequon,2/20/2024,,
WI,Mount Pleasant,2/20/2024,,
WI,Racine,,,
WI,La Crosse,2/20/2024,,
WI,Wilmot,2/20/2024,,
WI,Port,2/20/2024,,
WI,Menominee,2/20/2024,,
WI,Reedsburg,2/20/2024,,
WI,Fontana,2/20/2024,,
WI,Paris,2/20/2024,,
WI,Rudolph,2/20/2024,,
WI,Wind Point,2/20/2024,,
WI,Fox Point,2/20/2024,,
WI,Sauk City,2/20/2024,,
WI,Bangor,2/20/2024,,
WI,Orfordville,2/20/2024,,
WI,Arrowhead,2/20/2024,,
WI,Augusta,2/20/2024,,
WI,St.,2/20/2024,,
WI,Lac La Belle,2/20/2024,,
WI,North Hudson,2/20/2024,,
WI,Walworth,2/20/2024,,
WI,Waukesha,,,
WI,Sauk City,,,
WI,Fontana-on-Geneva-Lake,2/20/2024,,
WI,Saukville,2/20/2024,,
WI,Johnson Creek,2/20/2024,,
WI,Evansville,2/20/2024,,
WI,Clyman,2/20/2024,,
WI,Columbus,2/20/2024,,
WI,Stoughton,2/20/2024,,
WI,Bellevue,2/20/2024,,
WI,Delavan-Darien,2/20/2024,,
WI,Monona,2/20/2024,,
WI,Potosi,2/20/2024,,
WI,Baraboo,2/20/2024,,
WI,Pierce,2/20/2024,,
WI,Sussex,2/20/2024,,
WI,Colfax,2/20/2024,,
WI,Cedar Grove,2/20/2024,,
WI,Fitchburg,2/20/2024,,
WI,Paddock Lake,2/20/2024,,
WI,New Auburn,2/20/2024,,
WI,Black Creek,2/20/2024,,
WI,Arkansaw,2/20/2024,,
WI,Durand,2/20/2024,,
WI,Eau Galle,2/20/2024,,
WI,Mondov,2/20/2024,,
KY,Garrard,5/21/2024,,
KY,West Buechel,5/21/2024,,
KY,Thornhill,11/5/2024,,
KY,Crescent Springs,11/5/2024,,
KY,Graymoor-Devondale,11/5/2024,,
KY,Houston Acres,5/21/2024,,
KY,Hollyvilla,11/5/2024,,
KY,Bracken,5/21/2024,,
KY,Berea,11/5/2024,,
KY,Meadowbrook Farm,11/5/2024,,
KY,Eubank,11/5/2024,,
KY,Bowling Green,5/21/2024,,
KY,Bromley,5/21/2024,,
KY,Taylor Mill,11/5/2024,,
KY,Crofton,11/5/2024,,
KY,Bellewood,11/5/2024,,
KY,Norbourne Estates,11/5/2024,,
KY,Orchard Grass Hills,11/5/2024,,
KY,Jeffersontown,5/21/2024,,
KY,Casey,5/21/2024,,
KY,Highland Heights,11/5/2024,,
KY,La Grange,5/21/2024,,
KY,Riverwood,11/5/2024,,
KY,Trigg,5/21/2024,,
KY,Strathmoor Manor,11/5/2024,,
KY,Lincolnshire,11/5/2024,,
KY,Hillview,11/5/2024,,
KY,Lynnview,5/21/2024,,
KY,Strathmoor,5/21/2024,,
KY,Maryhill Estates,11/5/2024,,
KY,Owensboro,5/21/2024,,
KY,Windy Hills,11/5/2024,,
KY,Meadow Vale,11/5/2024,,
KY,Hebron Estates,11/5/2024,,
KY,Glenview,11/5/2024,,
KY,Hollow Creek,11/5/2024,,
KY,Fort Wright,11/5/2024,,
KY,Plum Springs,11/5/2024,,
KY,Breathitt,5/21/2024,,
KY,St. Matthews,5/21/2024,,
KY,Radcliff,5/21/2024,,
KY,Beechwood,11/5/2024,,
KY,Seneca Gardens,11/5/2024,,
KY,Kenton Vale,11/5/2024,,
KY,Menifee,5/21/2024,,
KY,Elliott,5/21/2024,,
FL,Belle Isle,3/19/2024,,
FL,Lighthouse Point,3/19/2024,,
FL,Cinco Bayou,3/19/2024,,
FL,Broward,3/19/2024,,
FL,Mansfield,3/19/2024,,
FL,Orange Park,3/19/2024,,
FL,Loxahatchee Groves,3/19/2024,,
FL,Atlantis,3/19/2024,,
FL,Palm beach county,3/19/2024,,
FL,Atlantic Beach,3/19/2024,,
FL,Treasure Island,3/19/2024,,
FL,Pahokee,3/19/2024,,
FL,Windermere,3/19/2024,,
CA,Shasta,3/5/2024,,
MD,Cecil,5/14/2024,,
NM,Rio Rancho,3/5/2024,,
NM,Artesia,3/5/2024,,
NV,Argenta,6/11/2024,,
CA,Mono,3/5/2024,,
CA,Madera,3/5/2024,,
NV,Walker River,6/11/2024,,
CA,Ventura,3/5/2024,,
NV,A,6/11/2024,,
CA,Solano,3/5/2024,,
NV,Incline,6/11/2024,,
CA,San Benito,3/5/2024,,
CA,Lake,3/5/2024,,
CA,Whittier,4/9/2024,,
NV,Virginia,6/11/2024,,
NV,Dayton,6/11/2024,,
NV,Gerlach/Wadsworth,6/11/2024,,
CA,Mendocino,3/5/2024,,
CA,San Francisco,3/5/2024,,
CA,Fresno,3/5/2024,,
CA,Alameda,3/5/2024,,
CA,Alpine,3/5/2024,,
CA,Amador,3/5/2024,,
CA,Butte,3/5/2024,,
CA,Calaveras,3/5/2024,,
CA,Colusa,3/5/2024,,
CA,Contra Costa,3/5/2024,,
CA,Del Norte,3/5/2024,,
CA,El Dorado,3/5/2024,,
CA,Glenn,3/5/2024,,
CA,Humboldt,3/5/2024,,
CA,Imperial,3/5/2024,,
CA,Inyo,3/5/2024,,
CA,Kern,3/5/2024,,
CA,Kings,3/5/2024,,
CA,Lassen,3/5/2024,,
CA,Marin,3/5/2024,,
CA,Mariposa,3/5/2024,,
CA,Merced,3/5/2024,,
CA,Modoc,3/5/2024,,
CA,Monterey,3/5/2024,,
CA,Napa,3/5/2024,,
CA,Nevada,3/5/2024,,
CA,Orange,3/5/2024,,
CA,Placer,3/5/2024,,
CA,Plumas,3/5/2024,,
CA,Riverside,3/5/2024,,
CA,Sacramento,3/5/2024,,
CA,San Diego,3/5/2024,,
CA,San Joaquin,3/5/2024,,
CA,San Luis Obispo,3/5/2024,,
CA,San Mateo,3/5/2024,,
CA,Santa Barbara,3/5/2024,,
CA,Santa Clara,3/5/2024,,
CA,Santa Cruz,3/5/2024,,
CA,Sierra,3/5/2024,,
CA,Sonoma,3/5/2024,,
CA,Stanislaus,3/5/2024,,
CA,Sutter,3/5/2024,,
CA,Tehama,3/5/2024,,
CA,Trinity,3/5/2024,,
CA,Tuolumne,3/5/2024,,
CA,Yolo,3/5/2024,,
CA,Yuba,3/5/2024,,
NV,Hawthorne,6/11/2024,,
MO,Sparta,4/2/2024,,
MO,Crystal Lake Park,4/2/2024,,
MO,Laquey,4/2/2024,,
MO,Mosby,4/2/2024,,
MO,Mehlville,4/2/2024,,
MN,Dakota,3/12/2024,,
MO,Saddlebrooke,4/2/2024,,
MO,Fordland,4/2/2024,,
MO,Joplin,4/2/2024,,
MO,Fredericktown,4/2/2024,,
MO,Bella Villa,4/2/2024,,
MO,Miramiguoa Park,4/2/2024,,
MO,Vinita Park,4/2/2024,,
MO,Gerald,4/2/2024,,
MO,Franklin County,4/2/2024,,
MO,Bonne Terre,4/2/2024,,
MO,Centralia,4/2/2024,,
MO,Lake St. Louis,4/2/2024,,
MO,Sarcoxie,4/2/2024,,
MO,Southern,4/2/2024,,
MO,Park Hills,4/2/2024,,
MO,Berger,4/2/2024,,
MN,President,3/5/2024,,
MO,Rockaway Beach,4/2/2024,,
MO,Sweet,4/2/2024,,
MO,Prathersville,4/2/2024,,
MO,Baldwin Park,4/2/2024,,
MO,East Lynne,4/2/2024,,
MO,Ridgely,4/2/2024,,
MO,Lindbergh,4/2/2024,,
MO,Weldon Spring Height,4/2/2024,,
MO,Raymore-Peculiar,4/2/2024,,
MO,Sturgeon,4/2/2024,,
MO,Clarkson Valley,4/2/2024,,
MO,Florissant,4/2/2024,,
MO,Bellefontaine Neighbors,4/2/2024,,
MO,Berkeley,4/2/2024,,
MO,Green Park,4/2/2024,,
MO,River Bend,4/2/2024,,
MO,Glen Echo,4/2/2024,,
MO,Rock Hill,4/2/2024,,
MN,Olmsted,3/12/2024,,
MO,Lohman,4/2/2024,,
MO,Frontenac,4/2/2024,,
MO,BLAIR OAKS,,,
MO,Jefferson,,,
MO,Houston Lake,4/2/2024,,
MO,Chain of Rocks,4/2/2024,,
MO,Truxton,4/2/2024,,
MN,Rice,3/12/2024,,
MO,Pierpont,4/2/2024,,
MO,Centerview,4/2/2024,,
MO,Highlandville,4/2/2024,,
MO,Garden,4/2/2024,,
MO,Ozark,4/2/2024,,
MO,Calverton Park,4/2/2024,,
MO,Troy,4/2/2024,,
MO,Oakwood,4/2/2024,,
MO,Taneyville,4/2/2024,,
MO,Wilbur Park,4/2/2024,,
MO,Lawson,4/2/2024,,
MO,Ray County,,,
MO,Polo,,,
MO,Orrick,,,
MO,Norborne,,,
MO,Braymer,,,
MO,Wood Heights,,,
MO,Camden,,,
MO,Hardin-Central,,,
MO,Homestead Village,,,
MO,Fleming,,,
MO,Henrietta,,,
MO,Crystal Lakes,,,
MO,Elmira,,,
MO,Excelsior Springs,,,
MO,Foristell,4/2/2024,,
MO,Dardenne Prairie,4/2/2024,,
MO,Warson Woods,4/2/2024,,
MO,Charmwood,4/2/2024,,
MO,Wardsville,4/2/2024,,
MO,Lonedell,4/2/2024,,
MO,Valley Parks,4/2/2024,,
MO,Bellerive Acres,4/2/2024,,
MO,Dunklin,4/2/2024,,
MN,Sherburne,3/12/2024,,
MO,Pleasant Hill,4/2/2024,,
MO,Old Appleton,4/2/2024,,
MO,Farley,4/2/2024,,
MO,De Soto,4/2/2024,,
MO,Knob,4/2/2024,,
MO,Hollister,4/2/2024,,
MO,La Russell,4/2/2024,,
MO,Newtonia,4/2/2024,,
MO,Newton,,,
MO,Levasy,4/2/2024,,
MO,Lake Annette,4/2/2024,,
MO,Clever,4/2/2024,,
MO,Iatan,4/2/2024,,
MO,Pine Lawn,4/2/2024,,
MO,Bel-Nor,4/2/2024,,
MO,Centertown,4/2/2024,,
MO,St. Ann,4/2/2024,,
MO,Dellwood,4/2/2024,,
MO,Fountain-N-Lakes,4/2/2024,,
MO,Creighton,4/2/2024,,
MO,Ava,4/2/2024,,
MO,Flordell Hills,4/2/2024,,
MO,Pasadena Park,4/2/2024,,
MO,Kingsville,4/2/2024,,
MO,Sunset Hills,4/2/2024,,
MO,West Line,4/2/2024,,
MO,Wentzville,4/2/2024,,
MO,Webster Groves,4/2/2024,,
MO,Westview,4/2/2024,,
MD,Anne,5/14/2024,,
MD,Calvert,5/14/2024,,
MD,Allegany,5/14/2024,,
MD,Baltimore County,5/14/2024,,
NH,Amherst,3/12/2024,,
CO,Bennett,4/2/2024,,
CO,Evans,4/2/2024,,
CO,Superior,4/2/2024,,
CO,Firestone,4/2/2024,,
NH,Harrisville,3/12/2024,,
NH,Chesterfield,3/12/2024,,
NH,Dunbarton,3/12/2024,,
NH,Bow,3/12/2024,,
NH,Lebanon,3/12/2024,,
NH,Littleton,3/12/2024,,
NH,Hampstead,3/12/2024,,
NH,Marlow,3/12/2024,,
NH,Hollis,3/12/2024,,
NH,Candia,3/12/2024,,
NH,Fremont,3/12/2024,,
NH,New Hampton,3/12/2024,,
NH,Newfields,3/12/2024,,
NH,Wilton-Lyndeborough,3/12/2024,,
NH,Winnacunnet,3/12/2024,,
NH,Salem,3/12/2024,,
NH,Chichester,3/12/2024,,
NH,Epping,3/12/2024,,
NH,Deerfield,3/12/2024,,
NH,Bethlehem,3/12/2024,,
NH,Andover,3/12/2024,,
NH,Mascoma,3/12/2024,,
NH,Hollis/Brookline,3/12/2024,,
NH,Allenstown,3/12/2024,,
NH,Hooksett,3/12/2024,,
NH,Bartlett,3/12/2024,,
NH,Ellsworth,3/12/2024,,
NH,Hill,3/12/2024,,
NH,Westmoreland,3/12/2024,,
NH,Moultonborough,3/12/2024,,
NH,Alton,3/12/2024,,
MD,Frederick County,5/14/2024,,
MD,Garrett County,5/14/2024,,
NH,Dresden,3/12/2024,,
WV,Nicholas,5/14/2024,,
WV,Dunbar,5/14/2024,,
WV,Gilmer,5/14/2024,,
WV,Hampshire,5/14/2024,,
WV,Fairmont,5/14/2024,,
WV,Cabell,5/14/2024,,
WV,Monongalia,5/14/2024,,
WV,Doddridge,5/14/2024,,
WV,Pleasants,5/14/2024,,
WV,St. Albans,5/14/2024,,
WV,Mingo,5/14/2024,,
WV,WV,5/14/2024,,
WV,Anytown,5/14/2024,,
WV,Athens,5/14/2024,,
WV,Baker,5/14/2024,,
WV,Barboursville,5/14/2024,,
WV,Beckley,5/14/2024,,
WV,Belington,5/14/2024,,
WV,Berkeley Springs,5/14/2024,,
WV,Bluefield,5/14/2024,,
WV,Bridgeport,5/14/2024,,
WV,Buckhannon,5/14/2024,,
WV,Chapmanville,5/14/2024,,
WV,Charleston,5/14/2024,,
WV,Clarksburg,5/14/2024,,
WV,Cross Lanes,5/14/2024,,
WV,Daniels,5/14/2024,,
WV,Dellslow,5/14/2024,,
WV,Elizabeth,5/14/2024,,
WV,Elkins,5/14/2024,,
WV,Falling Waters,5/14/2024,,
WV,Fayetteville,5/14/2024,,
WV,Gerrardstown,5/14/2024,,
WV,Glen Dale,5/14/2024,,
WV,Glenville,5/14/2024,,
WV,Harrisville,5/14/2024,,
WV,Hedgesville,5/14/2024,,
WV,Huntington,5/14/2024,,
WV,Hurricane,5/14/2024,,
WV,Keyser,5/14/2024,,
WV,Kingwood,5/14/2024,,
WV,Lewisburg,5/14/2024,,
WV,Logan,5/14/2024,,
WV,Looneyville,5/14/2024,,
WV,Martinsburg,5/14/2024,,
WV,Masontown,5/14/2024,,
WV,Mineral Wells,5/14/2024,,
WV,Morgantown,5/14/2024,,
WV,Mount Clare,5/14/2024,,
WV,Mullens,5/14/2024,,
WV,New Haven,5/14/2024,,
WV,Nutter Fort,5/14/2024,,
WV,Oak Hill,5/14/2024,,
WV,Old Fields,5/14/2024,,
WV,Parkersburg,5/14/2024,,
WV,Petersburg,5/14/2024,,
WV,Philippi,5/14/2024,,
WV,Pineville,5/14/2024,,
WV,Princeton,5/14/2024,,
WV,Ronceverte,5/14/2024,,
WV,Shepherdstown,5/14/2024,,
WV,Shinnston,5/14/2024,,
WV,South Charleston,5/14/2024,,
WV,Spencer,5/14/2024,,
WV,Summersville,5/14/2024,,
WV,Sutton,5/14/2024,,
WV,Thornton,5/14/2024,,
WV,Wallback,5/14/2024,,
WV,Webster Springs,5/14/2024,,
WV,West Hamli,5/14/2024,,
WV,Wheeling,5/14/2024,,
WV,Williamson,5/14/2024,,
WV,Winfield,5/14/2024,,
MD,Harford County,5/14/2024,,
MD,Howard County,5/14/2024,,
MD,Montgomery County,5/14/2024,,
MD,Prince George's County,5/14/2024,,
MD,Saint Mary's County,5/14/2024,,
AK,Anchorage,4/2/2024,,
AK,Ketchikan,4/2/2024,,
MD,Hagerstown,5/14/2024,,
FL,Eatonville,3/2/2024,,
FL,Ocean Ridge,3/19/2024,,
FL,South Miami,2/13/2024,,
FL,Mulberry/Pleasant,3/19/2024,,
FL,Wellington,3/19/2024,,
FL,Beverly Beach,3/19/2024,,
FL,Flagler Beach,,,
FL,Palm Coast,,,
FL,Valparaiso,3/19/2024,,
FL,Pembroke Pines,3/19/2024,,
FL,Safety Harbor,3/19/2024,,
FL,Hackett,3/19/2024,,
FL,Surfside,3/19/2024,,
IN,Vanderburgh,5/7/2024,,
IN,Hendricks,5/7/2024,,
IN,IN,5/7/2024,,
IN,Posey,5/7/2024,,
IN,Advance,5/7/2024,,
SD,Lincoln,3/5/2024,,
SD,Brookings,3/5/2024,,
IN,Dillsboro,5/7/2024,,
IN,St. Joseph,5/7/2024,,
IN,Ogden Dunes,5/7/2024,,
IN,Kosciusko,5/7/2024,,
IN,Vigo,5/7/2024,,
FL,Panama,4/16/2024,,
FL,Jupiter Inlet Colony,3/19/2024,,
FL,Jacksonville Beach,3/19/2024,,
IN,Paragon,5/7/2024,,
IN,Brooklyn,5/7/2024,,
IN,Vermillion,5/7/2024,,
IN,Danville,5/7/2024,,
IN,LaGrange,5/7/2024,,
FL,Davenport,4/2/2024,,
TX,Southwest,5/4/2024,,
TX,Oak Point,5/4/2024,,
TX,Birdville,5/4/2024,,
TX,Brazosport,5/4/2024,,
TX,Trinidad,5/4/2024,,
TX,Pflugerville,5/4/2024,,
TX,Taft,5/4/2024,,
TX,Bellmead,5/4/2024,,
TX,Richland Hills,5/4/2024,,
TX,Caddo,5/4/2024,,
TX,Copper Canyon,5/4/2024,,
TX,Mildred,5/4/2024,,
TX,Caddo Mills,5/4/2024,,
TX,Howe,5/4/2024,,
TX,Jones Creek,5/4/2024,,
TX,Port Isabel,5/4/2024,,
TX,Devers,5/4/2024,,
TX,Columbia-Brazoria,5/4/2024,,
TX,Kennedale,5/4/2024,,
TX,Smithville,5/4/2024,,
TX,Bartonville,5/4/2024,,
TX,Lumberton,5/4/2024,,
TX,Daisetta,5/4/2024,,
TX,Jamaica Beach,5/4/2024,,
TX,Lake Jackson,5/4/2024,,
TX,Leary,5/4/2024,,
TX,Calhoun County,,,
TX,Blossom,5/4/2024,,
TX,Colleyville,5/4/2024,,
TX,Waco,5/4/2024,,
TX,Liberty Hill,5/4/2024,,
TX,Spring Branch,5/4/2024,,
TX,Chisum,5/4/2024,,
TX,Pilot,5/4/2024,,
TX,Cockrell Hill,5/4/2024,,
TX,Wills,5/4/2024,,
TX,Kenefick,5/4/2024,,
TX,Oak Leaf,5/4/2024,,
TX,Windcrest,5/4/2024,,
TX,Mabank,5/4/2024,,
TX,Van Zandt County,,,
TX,Los Indios,5/4/2024,,
TX,Simonton,5/4/2024,,
TX,Cameron County,,,
TX,Evant,5/4/2024,,
TX,Willow Park,5/4/2024,,
TX,Parker,,,
